전철역명,호선,X좌표(WGS),Y좌표(WGS)
종로3가,1,37.571607,126.991806
동대문,1,37.57142,127.009745
서울,1,37.554648,126.972559
신도림,1,37.508725,126.891295
시청,1,37.564718,126.977108
신설동,1,37.575297,127.025087
종로3가,1,37.571607,126.991806
광운대,1,37.623632,127.061835
신길,1,37.517122,126.917169
종로3가,1,37.571607,126.991806
동묘앞,1,37.572627,127.016429
석계,1,37.614805,127.065851
도봉산,1,37.689313,127.046222
금정,1,37.372221,126.943429
수원,1,37.265974,126.999874
회기,1,37.58946,127.057583
회룡,1,37.724846,127.046895
창동,1,37.653166,127.047731
가산디지털단지,1,37.481072,126.882343
온수,1,37.492258,126.823388
부평,1,37.489493,126.724805
주안,1,37.464941,126.679923
인천,1,37.476691,126.616936
청량리,1,37.580178,127.046835
회기,1,37.58946,127.057583
신설동,1,37.575297,127.025087
청량리,1,37.580178,127.046835
용산,1,37.529849,126.964561
종각,1,37.570161,126.982923
종로5가,1,37.570926,127.001849
동대문,1,37.57142,127.009745
신설동,1,37.575297,127.025087
제기동,1,37.578103,127.034893
청량리,1,37.580178,127.046835
동묘앞,1,37.572627,127.016429
용산,1,37.529849,126.964561
풍기,1,,
성균관대,1,37.300349,126.97075
구일,1,37.496756,126.870793
서울,1,37.554648,126.972559
시청,1,37.564718,126.977108
신도림,1,37.508725,126.891295
창동,1,37.653166,127.047731
남영,1,37.541021,126.9713
노량진,1,37.514219,126.942454
대방,1,37.513342,126.926382
영등포,1,37.515504,126.907628
회기,1,37.58946,127.057583
외대앞,1,37.596073,127.063549
신이문,1,37.601854,127.067325
석계,1,37.614805,127.065851
광운대,1,37.623632,127.061835
월계,1,37.633212,127.058831
녹천,1,37.644799,127.051269
신길,1,37.517122,126.917169
봉명,1,36.801215,127.135763
쌍용(나사렛대),1,36.793759,127.1214
아산,1,36.792053,127.104361
탕정,1,,
배방,1,36.777629,127.052991
온양온천,1,36.780483,127.003249
신창,1,36.769502,126.951108
금정,1,37.372221,126.943429
구로,1,37.503039,126.881966
가산디지털단지,1,37.481072,126.882343
금천구청,1,37.455626,126.89398
석수,1,37.435047,126.902295
관악,1,37.419232,126.908706
안양,1,37.401592,126.922874
명학,1,37.384653,126.935433
군포,1,37.35356,126.948462
의왕,1,37.320852,126.948217
화서,1,37.283862,126.989627
수원,1,37.265974,126.999874
독산,1,37.466613,126.889249
세류,1,37.245025,127.013222
병점,1,37.207503,127.032731
세마,1,37.187533,127.04318
오산대,1,37.168953,127.063197
오산,1,37.145885,127.06672
진위,1,37.109447,127.062278
송탄,1,37.075696,127.054301
